CODE_TYPE_EVENT;EVENT_NAME;ALERT_FLAG;CLOSE_FLAG;OPEN_FLAG;FAILURE_FLAG;REPAIR_FLAG;OTHER_FLAG;TEST_FLAG;INFO_SFLAG;WARNING_SFLAG;ERROR_SFLAG;REPAIR_SFLAG;CRIT_ERROR_SFLAG;DELETED
688;Включение программируемого выхода 28;0;0;0;0;0;1;0;0;0;0;0;0;
689;Включение программируемого выхода 29;0;0;0;0;0;1;0;0;0;0;0;0;
690;Включение программируемого выхода 30;0;0;0;0;0;1;0;0;0;0;0;0;
692;Реле включено;0;0;0;0;0;1;0;0;0;0;0;0;
693;Установлена активная SIM;0;0;0;0;0;1;0;0;0;0;0;0;
694;Загрузка резидентного ПО;0;0;0;0;0;1;0;0;0;0;0;0;
695;Баланс счета GSM;0;0;0;0;0;1;0;0;0;0;0;0;
696;Отрицательный баланс счета GSM;0;0;0;1;0;0;0;0;0;0;0;0;0
697;Ошибка получения счета GSM;0;0;0;1;0;0;0;0;0;0;0;0;
698;Контроль наряда;0;0;0;0;0;1;0;0;0;0;0;0;
1001;Отказ: нет сообщений от устройства;0;0;0;1;0;0;0;0;0;0;0;0;
1003;Отказ при выполнении проверки устройства;0;0;0;1;0;0;0;0;0;0;0;0;
1010;Перемещение охраняемого объекта;1;0;0;0;0;0;0;0;0;0;0;0;
1111;Взлом клавиатуры;1;0;0;1;0;0;0;0;0;0;0;0;
1114;Блокировка клавиатуры;0;0;0;0;0;1;0;0;0;0;0;0;0
1115;Нарушение расписания;1;0;0;0;0;0;0;0;0;0;0;0;
1306;Радиодиагностика;0;0;0;0;0;1;0;0;0;0;0;0;
1308;Тревога в группе зон охраны;1;0;0;0;0;0;0;0;0;0;0;0;
1400;Сбой связи с УОО;0;0;0;1;0;0;0;0;0;0;0;0;
1504;Тип устройства;0;0;0;0;0;0;0;0;1;0;0;0;
1506;Сняты с охраны зоны;0;0;1;0;0;0;0;0;0;0;0;0;
1507;Неисправность при взятии под охрану;0;0;0;1;0;0;0;0;0;0;0;0;
1508;Срабатывание;0;0;0;0;0;1;0;0;0;0;0;0;
1509;Уровень сигнала;0;0;0;0;0;1;0;0;0;0;0;0;
1515;Начало снятия;0;0;0;0;0;0;0;1;0;0;0;0;
1516;Снят с охраны оператором;0;0;1;0;0;0;0;0;0;0;0;0;
1519;Состояние зон охраны;0;0;0;0;0;1;0;0;0;0;0;0;
1523;Общая тревога по КТЛ;1;0;0;0;0;0;0;0;0;0;0;0;
1524;Снятие КТЛ с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
1525;Снятие неизвестным пользователем;1;0;0;0;0;0;0;0;0;0;0;0;0
1530;Сопротивление линии связи;0;0;0;0;0;1;0;0;0;0;0;0;
1531;Тревога передана по телефону;1;0;0;0;0;0;0;0;0;0;0;0;
1532;Тревога от стороннего ПЦО;1;0;0;0;0;0;0;0;0;0;0;0;
1540;Уровень сигнала LoRa;0;0;0;0;0;1;0;0;0;0;0;0;
1541;Уровень сигнала GSM;0;0;0;0;0;1;0;0;0;0;0;0;
1542;Уровень сигнала LARS;0;0;0;0;0;1;0;0;0;0;0;0;
1543;Нарушение связи WiFi;0;0;0;1;0;0;0;0;0;0;0;0;
1544;Отказ контроллера NFC;0;0;0;1;0;0;0;0;0;0;0;0;
1550;Старт видеотрансляции;0;0;0;0;0;1;0;0;0;0;0;0;
1551;Ошибка видеотрансляции;0;0;0;1;0;0;0;0;0;0;0;0;
1560;Отказ термодатчика;0;0;0;1;0;0;0;0;0;0;0;0;
1561;Отказ счетчика расхода воды;0;0;0;1;0;0;0;0;0;0;0;0;
1562;Отказ клавиатуры;0;0;0;1;0;0;0;0;0;0;0;0;
2100;Конец медицинской тревоги;0;0;0;0;1;0;0;0;0;0;0;0;0
2101;Конец персонального вызова медпомощи;0;0;0;0;1;0;0;0;0;0;0;0;0
2102;Поступило медицинское сообщение;0;0;0;0;1;0;0;0;0;0;0;0;0
2110;Конец пожарной тревоги;0;0;0;0;1;0;0;0;0;0;0;0;
2111;Конец задымления;0;0;0;0;1;0;0;0;0;0;0;0;
2114;Конец пожарной тревоги (перегрева);0;0;0;0;1;0;0;0;0;0;0;0;0
2115;Востановление пожарной кнопки;0;0;0;0;1;0;0;0;0;0;0;0;0
2116;Конец тревоги в водопроводе;0;0;0;0;1;0;0;0;0;0;0;0;0
2118;Конец опасности пожара;0;0;0;0;1;0;0;0;0;0;0;0;
2120;Восстановление после нападения;0;0;0;0;1;0;0;0;0;0;0;0;
2121;Конец принуждения;0;0;0;0;1;0;0;0;0;0;0;0;
2122;Конец тихого экстренного вызова;0;0;0;0;1;0;0;0;0;0;0;0;
2123;Конец громкого экстренного вызова;0;0;0;0;1;0;0;0;0;0;0;0;
2130;Восстановление после тревоги;0;0;0;0;1;0;0;0;0;0;0;0;
2131;Конец тревоги по периметру;0;0;0;0;1;0;0;0;0;0;0;0;
2132;Конец внутренней тревоги;0;0;0;0;1;0;0;0;0;0;0;0;
2133;Конец тревоги 24-часовой зоны;0;0;0;0;1;0;0;0;0;0;0;0;
2134;Конец тревоги на входе/выходе;0;0;0;0;1;0;0;0;0;0;0;0;
2135;Конец дневной/ночной тревоги;0;0;0;0;1;0;0;0;0;0;0;0;
2137;Восстановление целостности устройства;0;0;0;0;1;0;0;0;0;0;0;0;
2138;Конец опасности тревоги;0;0;0;0;0;1;0;0;0;0;0;0;
2139;Конец вторжения;0;0;0;0;1;0;0;0;0;0;0;0;
2140;Конец общей тревоги;0;0;0;0;1;0;0;0;0;0;0;0;
2146;Конец тихого проникновения;0;0;0;0;1;0;0;0;0;0;0;0;
2147;Восстановление контроля извещателя;0;0;0;0;1;0;0;0;0;0;0;0;
2150;Восстановление дополнительной зоны;0;0;0;0;1;0;0;0;0;0;0;0;
2151;Конец утечки газа;0;0;0;0;1;0;0;0;0;0;0;0;
2152;Конец охлаждения;0;0;0;0;1;0;0;0;0;0;0;0;
2154;Конец утечки воды;0;0;0;0;1;0;0;0;0;0;0;0;
2156;Устранение проблемы в состоянии Снят;0;0;0;0;1;0;0;0;0;0;0;0;0
2157;Восстановление уровня газа в баллоне;0;0;0;0;0;0;0;0;0;0;0;0;0
2158;Конец перегрева;0;0;0;0;1;0;0;0;0;0;0;0;
2159;Конец переохлаждения;0;0;0;0;1;0;0;0;0;0;0;0;
2170;Конец специальной реакции A;0;0;0;0;1;0;0;0;0;0;0;0;
2171;Конец специальной реакции B;0;0;0;0;1;0;0;0;0;0;0;0;
2172;Конец специальной реакции C;0;0;0;0;1;0;0;0;0;0;0;0;
2173;Конец специальной реакции D;0;0;0;0;1;0;0;0;0;0;0;0;
2177;Сейф (деактивация);0;0;0;0;0;1;0;0;0;0;0;0;
2205;Насос деактивирован;0;0;0;0;0;1;0;0;0;0;0;0;
2300;Восстановление после системной неисправности;0;0;0;0;1;0;0;0;0;0;0;0;
2301;Восстановление основного электропитания;0;0;0;0;1;0;0;0;0;0;0;0;
2302;Аккумулятор заряжен;0;0;0;0;1;0;0;0;0;0;0;0;
2305;Конец сброса системы;0;0;0;0;0;1;0;0;0;0;0;0;
2308;Включение системы;0;0;0;0;1;0;0;0;0;0;0;0;
